Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
MOD,Modine Manufacturing Co.,Consumer Cyclical,9.01,0,,,0,467.744203,7.568676423,0,1.187304921,18.54,8.6
CLW,Clearwater Paper Corp,Basic Materials,28.03,0,,,0,467.802088,N/A,0,0.636003205,44.73,25.51
FISI,Financial Institutions Inc.,Financial Services,30.13,0.036039946,0.074074074,0.066683901,1.085883573,467.817693,6.13636021,0.227172296,0.666564095,34.13,26.88
IBCP,"Independent Bank Corporation (Ionia, MI)",Financial Services,22,0.038114745,,,0.838524397,468.093978,0,N/A,0.703356854,25.76,19.06
CSTR,CapStar Financial Holdings Inc,Financial Services,21.08,0.011337941,,,0.239003792,468.525556,9.625193738,0.109134152,0.674711375,22.81,16.86
WSBF,Waterstone Financial Inc,Financial Services,19.34,0.040541632,0,0.330324997,0.784075159,468.626921,6.619865818,0.264890256,0.342528328,22.54,18.31
SPWH,Sportsman`s Warehouse Holdings Inc,Consumer Cyclical,10.69,0,,,0,469.077029,0,N/A,0.888256759,18.05,9.73
PVAC,Penn Virginia Corp.,Energy,30.66,0,,,0,469.966598,0,N/A,1.382141539,35.31,6.36
SPFI,South Plains Financial Inc,Financial Services,26.58,0.013477247,,,0.358225226,470.296925,0,N/A,0.651235723,29.89,20.25
BWB,Bridgewater Bancshares Inc,Financial Services,16.68,0,,,0,470.662996,0,N/A,0.609910332,20.05,15.22
FLWS,1-800 Flowers.com Inc.,Consumer Cyclical,12.76,0,,,0,470.715558,5.22982421,0,1.5543785,38.66,12.54
HVT,"Haverty Furniture Cos., Inc.",Consumer Cyclical,27.42,0.036035684,0,0.067907166,0.988098454,471.117236,5.188344397,0.201652746,1.098157619,51.63,26.13
FCBC,First Community Bankshares Inc.,Financial Services,28.21,0.037102786,0.08,0.084471771,1.046669602,473.766075,9.259030539,0.356010069,0.803820949,36.4,27.06
MMAT,Meta Materials Inc,N/A,1.67,0,,,0,475.637371,0,N/A,2.108815667,21.76,1.38
HNST,Honest Company Inc (The ),N/A,5.21,0,,,0,477.022588,N/A,0,,23.88,4.2
ALRS,Alerus Financial Corp,Financial Services,27.64,0.022963159,0.066666667,0.059223841,0.634701718,477.111785,0,N/A,0.692150543,37.89,25.51
ONEW,Onewater Marine Inc,Consumer Cyclical,34.45,0,,,0,477.211597,0,N/A,1.539828116,62.79,33.33
RM,Regional Management Corp,Financial Services,48.57,0.021554899,,,1.046921465,477.294184,0,N/A,0.991705445,67.33,34.06
BZH,Beazer Homes USA Inc.,Consumer Cyclical,15.22,0,,,0,478.816756,3.304258229,0,1.661896297,26.12,14.38
HTBI,HomeTrust Bancshares Inc,Financial Services,29.53,0.011465682,,,0.338581593,479.771046,0,N/A,0.537956403,32.51,20.59
EWTX,Edgewise Therapeutics Inc,N/A,9.7,0,,,0,480.266002,0,N/A,1.495693136,33.08,8.81
